time,wx,wy,wz
1.004,-0.19,1.44,-1.26
1.009,-0.21,1.43,-1.22
1.015,-0.23,1.41,-1.21
1.019,-0.25,1.41,-1.20
1.024,-0.27,1.40,-1.19
1.032,-0.27,1.40,-1.17
1.035,-0.27,1.40,-1.14
1.039,-0.26,1.38,-1.14
1.045,-0.26,1.36,-1.11
1.050,-0.26,1.35,-1.09
1.056,-0.25,1.36,-1.08
1.062,-0.25,1.36,-1.08
1.064,-0.26,1.31,-1.02
1.070,-0.28,1.32,-0.97
1.079,-0.32,1.36,-0.97
1.080,-0.34,1.34,-0.97
1.085,-0.34,1.31,-0.94
1.090,-0.34,1.31,-0.92
1.095,-0.33,1.30,-0.89
1.100,-0.30,1.30,-0.86
1.105,-0.29,1.30,-0.86
1.110,-0.29,1.30,-0.84
1.116,-0.29,1.28,-0.81
1.120,-0.29,1.26,-0.78
1.128,-0.31,1.26,-0.74
1.130,-0.34,1.26,-0.71
1.136,-0.36,1.23,-0.69
1.141,-0.37,1.22,-0.67
1.145,-0.38,1.21,-0.64
1.150,-0.38,1.21,-0.62
1.166,-0.38,1.20,-0.60
1.167,-0.37,1.19,-0.56
1.167,-0.37,1.19,-0.53
1.171,-0.36,1.19,-0.53
1.177,-0.36,1.16,-0.48
1.180,-0.33,1.14,-0.43
1.185,-0.29,1.14,-0.39
1.191,-0.26,1.12,-0.40
1.196,-0.24,1.03,-0.40
1.201,-0.21,0.97,-0.38
1.206,-0.18,0.96,-0.34
1.210,-0.15,0.91,-0.28
1.216,-0.17,0.89,-0.23
1.221,-0.24,0.88,-0.22
1.225,-0.32,0.82,-0.21
1.230,-0.40,0.73,-0.19
1.238,-0.42,0.73,-0.19
1.241,-0.42,0.68,-0.15
1.246,-0.39,0.70,-0.10
1.251,-0.34,0.72,-0.05
1.257,-0.28,0.69,-0.02
1.261,-0.25,0.61,-0.03
1.266,-0.24,0.50,-0.01
1.272,-0.24,0.52,0.05
1.277,-0.25,0.60,0.09
1.281,-0.26,0.59,0.12
1.286,-0.27,0.50,0.14
