time,wx,wy,wz
0.004,0,0,-0.01
0.005,0,0,0
0.006,0,0.02,-0.01
0.006,0,0.03,0
0.007,0,0.04,0
0.014,0,0.04,-0.01
0.015,0.01,0.04,-0.01
0.02,0.01,0.03,-0.02
0.024,0.01,0.02,-0.01
0.031,0,0.01,-0.01
0.039,0,0.01,-0.01
0.04,-0.01,0.01,-0.01
0.044,0,-0.01,0.01
0.054,0,0,0
0.055,0,0,0
0.059,0.01,-0.01,0.01
0.072,0.01,-0.02,0.01
0.073,0.01,-0.02,0.01
0.075,0,-0.03,0.02
0.08,0,-0.03,0.02
0.089,0,-0.02,0.02
0.09,-0.01,-0.02,0.03
0.095,-0.01,-0.01,0.03
0.1,-0.01,-0.01,0.04
0.104,0,-0.01,0.04
0.11,0,-0.03,0.05
0.12,0,-0.06,0.07
0.121,-0.01,-0.03,0.08
0.124,-0.03,-0.01,0.04
0.136,-0.03,-0.11,0.03
0.137,0,-0.2,0.03
0.14,0.05,-0.17,0.06
0.147,0.08,-0.17,0.07
0.15,0.1,-0.06,0.07
0.155,0.1,0.02,0.04
0.161,0.11,0.01,0
0.17,0.1,-0.02,-0.03
0.171,0.09,0.01,-0.06
0.175,0.1,0.11,-0.06
0.18,0.11,0.2,-0.11
0.185,0.13,0.22,-0.19
0.19,0.15,0.19,-0.25
0.196,0.17,0.2,-0.28
0.2,0.19,0.25,-0.3
0.206,0.19,0.34,-0.29
0.217,0.18,0.4,-0.28
0.218,0.15,0.4,-0.28
0.22,0.15,0.44,-0.31
0.228,0.12,0.51,-0.37
0.23,0.1,0.52,-0.43
0.235,0.09,0.52,-0.45
0.244,0.1,0.58,-0.47
0.245,0.11,0.64,-0.48
0.251,0.12,0.71,-0.47
0.256,0.13,0.79,-0.51
0.267,0.13,0.8,-0.57
0.268,0.15,0.79,-0.61
0.271,0.16,0.79,-0.59
0.277,0.15,0.79,-0.58
0.281,0.14,0.79,-0.58
0.286,0.14,0.83,-0.65
0.299,0.15,0.86,-0.7
0.3,0.16,0.86,-0.72
0.301,0.17,0.84,-0.74
0.316,0.18,0.87,-0.77
0.317,0.19,0.89,-0.78
0.318,0.2,0.91,-0.79
0.322,0.2,0.93,-0.83
0.331,0.19,0.94,-0.85
0.332,0.18,0.97,-0.87
0.336,0.18,1.01,-0.9
0.342,0.17,1.06,-0.93
