time;ax;ay;az;aT
0,009;0,0071;0,0903;-0,2976;0,311
0,009;0,0092;0,0899;-0,2975;0,311
0,01;-0,0083;0,2062;-0,0066;0,206
0,01;0,012;0,2059;0,3607;0,415
0,011;-0,0079;0,1858;0,4157;0,455
0,014;0,0106;0,1254;0,064;0,141
0,023;0,009;0,0253;-0,3217;0,323
0,033;0,0076;0,0232;-0,3156;0,316
0,039;0,0069;-0,0157;-0,3872;0,388
0,048;0,0846;-0,0141;-0,1693;0,19
0,056;0,0463;-0,0125;-0,0727;0,087
0,064;-0,0104;0,1051;-0,1137;0,155
0,072;-0,0469;0,1047;0,0391;0,121
0,084;0,0327;0,0852;0,21;0,229
0,089;0,0332;0,0858;0,2061;0,226
0,097;0,0134;0,047;0,2038;0,21
0,106;-0,0069;0,0268;0,0478;0,055
0,115;0,0307;0,0065;-0,1056;0,11
0,123;0,0488;-0,052;-0,1026;0,125
0,131;0,0481;-0,0122;-0,1396;0,148
0,139;0,0483;-0,0108;-0,1388;0,147
0,148;0,0106;-0,0092;-0,12;0,121
0,156;-0,0071;0,031;-0,0439;0,054
0,165;0,0334;0,0321;0,0506;0,069
0,173;0,0536;0,0141;0,1643;0,173
0,182;0,0147;0,0539;0,123;0,135
0,191;0,0144;0,0928;0,122;0,154
0,198;0,0135;0,0919;0,1219;0,153
0,208;0,0317;0,11;0,0255;0,117
0,215;-0,008;0,0702;-0,1088;0,13
0,225;-0,0271;0,0311;-0,1073;0,115
0,232;-0,0067;0,0122;-0,0874;0,088
0,248;-0,0055;-0,0064;-0,03;0,031
0,249;-0,004;-0,0053;-0,0319;0,033
0,258;-0,0026;-0,0234;0,1019;0,105
0,265;-0,0213;-0,0413;0,1578;0,165
0,278;-0,0015;0,0376;0,1558;0,16
0,282;-0,021;0,0574;0,0772;0,099
0,292;0,0173;0,0574;0,0585;0,084
0,299;0,0553;0,0766;-0,1343;0,164
0,308;0,0546;0,0765;-0,132;0,162
0,316;-0,023;0,0187;-0,15;0,153
0,324;-0,0992;0,0968;-0,1491;0,204
0,333;-0,0776;0,0767;-0,129;0,169
0,341;-0,0564;0,0381;-0,0509;0,085
0,349;-0,0548;0,0389;0,0648;0,093
0,361;-0,0535;0,04;0,0639;0,092
0,366;0,0053;0,0798;0,0637;0,102
0,375;0,005;0,0798;0,0639;0,102
0,383;0,0433;0,0799;-0,0516;0,104
0,392;0,0424;0,0989;-0,0886;0,139
0,4;0,0613;0,0789;-0,1066;0,146
0,408;0,0613;0,021;-0,1255;0,141
0,418;0,0615;0,0218;-0,1253;0,141
0,425;0,0809;0,0806;-0,0088;0,114
0,434;0,0224;0,0418;0,0098;0,048
0,442;0,0807;0,1199;0,0672;0,159
0,451;0,0217;0,1196;0,0281;0,125
0,459;0,0598;0,0805;-0,029;0,104
0,467;0,0586;0,0802;-0,0274;0,103
0,476;0,0383;0,0025;-0,1037;0,111
0,484;0,0573;0,0031;-0,1022;0,117
0,492;0,0567;0,0425;-0,1202;0,14
0,506;0,0756;0,043;-0,0993;0,132
0,509;0,075;0,0824;-0,0401;0,118
0,518;0,0359;0,0826;-0,0401;0,099
0,526;0,036;0,0824;-0,0401;0,098
0,537;-0,0026;0,0437;0,0372;0,057
0,542;0,0172;0,0446;0,0172;0,051
0,551;-0,0022;0,0453;-0,0019;0,045
0,559;-0,0216;0,0263;-0,0206;0,04
0,567;0,0563;0,0852;-0,0586;0,118
0,576;0,0559;0,0852;-0,058;0,117
0,585;0,0169;0,0659;-0,1154;0,134
0,593;0,0173;0,1246;-0,0175;0,127
0,601;-0,0209;0,1247;0,0014;0,126
0,611;0,0188;0,0662;-0,038;0,079
0,618;0,0574;0,0656;-0,0957;0,129
0,626;-0,0209;0,007;-0,0166;0,028
0,635;-0,0207;0,0074;-0,0158;0,027
0,65;0,0568;0,008;0,0625;0,085
0,651;0,0752;0,1057;0,0625;0,144
0,671;0,1126;0,1825;-0,1307;0,251
0,672;0,304;0,5471;-0,4763;0,786
