time;wx;wy;wz
0,004;-0,01;0,00;-0,01
0,005;-0,02;0,01;-0,00
0,005;-0,01;0,01;-0,00
0,005;-0,00;0,01;-0,00
0,008;0,00;0,01;-0,01
0,036;0,01;0,01;-0,01
0,036;0,01;0,00;-0,00
0,037;0,02;0,00;-0,01
0,037;0,00;0,00;-0,01
0,037;-0,00;0,00;-0,01
0,038;-0,00;0,00;-0,01
0,046;-0,01;-0,00;0,00
0,046;-0,02;-0,01;-0,00
0,055;-0,01;-0,01;-0,00
0,056;0,00;-0,01;0,00
0,063;0,02;-0,01;0,00
0,066;0,01;-0,01;-0,00
0,071;-0,00;-0,00;-0,00
0,079;-0,01;0,00;-0,00
0,081;-0,00;-0,00;-0,00
0,087;-0,01;0,00;-0,00
0,095;0,00;0,00;0,00
0,097;-0,00;0,00;0,00
0,102;-0,00;0,01;-0,01
0,114;-0,00;0,00;-0,02
0,115;0,00;0,00;-0,02
0,117;0,00;-0,00;-0,01
0,122;0,01;-0,01;0,00
0,130;0,01;-0,00;-0,00
0,132;-0,00;-0,00;-0,00
0,137;-0,00;-0,01;-0,01
0,144;-0,00;-0,01;-0,01
0,147;-0,00;-0,00;-0,01
0,152;-0,00;0,00;-0,01
0,157;-0,01;0,00;-0,02
0,162;-0,00;0,00;-0,02
0,167;-0,00;0,00;-0,01
0,175;-0,00;0,01;-0,01
0,178;0,00;0,00;-0,01
0,182;0,01;-0,00;-0,01
0,189;0,01;0,00;-0,01
0,192;0,01;0,00;-0,01
0,198;-0,00;0,00;-0,00
0,202;-0,00;-0,00;-0,01
0,207;-0,01;-0,01;-0,00
0,212;-0,00;-0,01;-0,00
0,218;-0,00;-0,01;-0,00
0,231;-0,00;-0,01;-0,01
0,232;-0,00;-0,01;-0,01
0,232;-0,00;-0,01;-0,01
0,238;0,00;-0,01;-0,01
0,243;0,00;-0,00;-0,01
0,247;0,01;-0,00;-0,02
0,257;0,00;0,01;-0,01
0,259;0,00;0,00;-0,01
0,263;-0,00;0,00;-0,01
0,267;-0,01;0,00;-0,01
0,273;-0,01;-0,00;-0,00
0,279;-0,01;0,00;0,00
0,283;-0,00;-0,01;0,00
0,288;0,01;-0,01;0,00
0,293;0,01;-0,01;0,00
0,300;0,00;-0,01;0,00
0,303;0,00;-0,01;-0,00
0,308;0,00;-0,02;-0,01
0,313;0,00;-0,00;-0,00
0,319;-0,00;-0,00;-0,01
0,323;-0,01;-0,00;-0,01
0,328;-0,00;0,00;-0,01
0,334;-0,00;0,00;-0,01
0,339;-0,01;-0,00;-0,00
0,343;0,00;-0,00;-0,01
0,348;-0,00;-0,00;-0,01
0,353;0,00;-0,00;-0,01
0,359;-0,01;-0,00;-0,00
0,363;-0,00;-0,00;-0,00
0,374;-0,00;-0,01;-0,01
0,374;-0,00;-0,01;-0,00
0,379;-0,00;-0,01;-0,01
0,385;0,01;-0,01;-0,01
0,388;0,00;-0,01;-0,01
0,394;-0,00;-0,00;-0,01
0,404;-0,00;0,01;-0,01
0,404;-0,00;0,01;-0,01
0,408;0,01;0,02;-0,03
0,416;0,01;0,02;-0,06
0,421;0,04;0,02;-0,05
0,423;0,05;0,02;-0,04
0,429;0,05;0,02;-0,04
0,434;0,05;0,02;-0,05
0,440;0,04;0,01;-0,05
0,444;0,01;0,02;-0,05
0,450;-0,00;0,03;-0,08
0,454;-0,00;0,04;-0,09
0,459;0,00;0,03;-0,11
0,464;0,01;0,04;-0,12
0,469;0,04;0,07;-0,13
0,474;0,06;0,09;-0,16
0,480;0,09;0,10;-0,19
0,484;0,11;0,11;-0,21
0,489;0,11;0,12;-0,21
0,495;0,10;0,12;-0,21
0,500;0,10;0,15;-0,23
0,505;0,09;0,17;-0,25
0,509;0,07;0,20;-0,27
0,520;0,07;0,20;-0,30
0,521;0,06;0,19;-0,32
0,525;0,05;0,20;-0,34
0,533;0,03;0,26;-0,36
0,536;0,04;0,29;-0,36
0,541;0,05;0,30;-0,38
0,546;0,08;0,31;-0,41
0,550;0,11;0,39;-0,46
0,555;0,18;0,42;-0,51
0,561;0,23;0,42;-0,52
0,565;0,27;0,37;-0,52
0,570;0,27;0,34;-0,50
0,574;0,27;0,43;-0,49
0,581;0,26;0,53;-0,52
0,585;0,24;0,58;-0,58
0,590;0,18;0,59;-0,65
0,595;0,09;0,54;-0,68
0,601;-0,01;0,52;-0,65
0,605;-0,06;0,60;-0,64
0,610;-0,06;0,67;-0,67
0,615;0,01;0,66;-0,72
0,621;0,11;0,62;-0,75
0,625;0,19;0,62;-0,78
0,630;0,22;0,62;-0,78
0,635;0,22;0,67;-0,81
0,641;0,21;0,72;-0,82
0,646;0,17;0,73;-0,82
0,651;0,11;0,72;-0,83
0,655;0,05;0,76;-0,86
0,664;0,03;0,82;-0,90
0,665;0,05;0,89;-0,94
0,670;0,10;0,92;-0,95
0,677;0,14;0,92;-0,94
0,681;0,17;0,94;-0,94
0,685;0,18;0,97;-0,97
0,691;0,14;1,00;-1,02
0,696;0,10;1,00;-1,02
0,702;0,10;1,01;-1,05
0,706;0,05;1,01;-1,05
0,711;0,03;1,01;-1,05
0,716;0,04;1,05;-1,06
0,722;0,08;1,09;-1,07
0,726;0,10;1,11;-1,10
0,731;0,13;1,11;-1,13
0,736;0,13;1,13;-1,15
0,742;0,11;1,15;-1,16
0,746;0,08;1,18;-1,15
0,751;0,03;1,20;-1,16
0,756;-0,00;1,21;-1,17
0,762;-0,00;1,21;-1,17
0,766;-0,00;1,23;-1,19
0,778;0,01;1,26;-1,22
0,779;0,05;1,29;-1,22
0,782;0,06;1,31;-1,22
0,787;0,06;1,32;-1,22
0,791;0,04;1,33;-1,23
0,797;0,01;1,36;-1,25
0,803;-0,03;1,40;-1,25
0,807;-0,05;1,42;-1,26
0,812;-0,06;1,43;-1,25
0,816;-0,06;1,45;-1,25
0,822;-0,05;1,47;-1,26
0,826;-0,04;1,47;-1,27
0,831;-0,04;1,51;-1,27
0,836;-0,04;1,53;-1,28
0,842;-0,05;1,53;-1,29
0,847;-0,07;1,53;-1,28
0,852;-0,10;1,55;-1,29
0,857;-0,12;1,57;-1,29
0,863;-0,14;1,57;-1,29
0,867;-0,16;1,57;-1,28
0,872;-0,17;1,57;-1,26
0,877;-0,18;1,58;-1,26
0,883;-0,20;1,59;-1,26
0,887;-0,20;1,58;-1,27
0,892;-0,20;1,58;-1,25
0,897;-0,18;1,56;-1,25
0,903;-0,18;1,54;-1,23
0,907;-0,16;1,52;-1,22
0,912;-0,14;1,49;-1,21
0,921;-0,14;1,46;-1,20
0,923;-0,16;1,45;-1,21
0,928;-0,19;1,44;-1,20
